tranzaksiya_id,msisdn,tarix,tip,mebleg_azn,kanal,tesvir
TX00047,994557777412,16.03.2026 21:13,balans_artirma,5,onlayn ödəniş,Balans artırıldı
TX00328,994554677096,17.03.2026 17:04,paket_alisi,-6.0,chatbot,İnternet paketi alındı: Aylıq 1.5 GB
TX00133,994558341704,18.03.2026 11:04,tarif_yenilenmesi,-11.99,555 zəng mərkəzi,Tarif yeniləndi: GO 11.99 (*905*2#)
TX00343,994997322137,18.03.2026 16:32,tarif_yenilenmesi,-14.99,chatbot,Tarif yeniləndi: GO 14.99 (*915*2#)
TX00313,994556372899,19.03.2026 08:49,paket_alisi,-1.5,USSD,İnternet paketi alındı: Gündəlik 1 GB
TX00190,994554544091,20.03.2026 05:49,balans_artirma,10,onlayn ödəniş,Balans artırıldı
TX00178,994554813734,20.03.2026 10:36,paket_alisi,-1.5,onlayn ödəniş,İnternet paketi alındı: Gündəlik 1 GB
TX00272,994999284140,21.03.2026 04:50,tarif_yenilenmesi,-59.99,USSD,Tarif yeniləndi: GO Pro 59.99 (*960*2#)
TX00341,994997322137,21.03.2026 19:57,tarif_yenilenmesi,-14.99,USSD,Tarif yeniləndi: GO 14.99 (*915*2#)
TX00022,994994650752,22.03.2026 07:15,paketdenkenar_sms,-0.76,Bakcell tətbiqi,"Paketdənkənar SMS (4 ədəd, 0.19₼)"
TX00280,994550639436,22.03.2026 18:31,balans_artirma,20,chatbot,Balans artırıldı
TX00203,994554449454,23.03.2026 05:55,paketdenkenar_sms,-0.57,USSD,"Paketdənkənar SMS (3 ədəd, 0.19₼)"
TX00034,994996661760,23.03.2026 07:26,tarif_yenilenmesi,-7.99,Bakcell tətbiqi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00144,994997924708,23.03.2026 18:38,balans_artirma,10,chatbot,Balans artırıldı
TX00177,994554813734,24.03.2026 05:49,tarif_yenilenmesi,-19.99,chatbot,Tarif yeniləndi: GO 19.99 (*920*2#)
TX00062,994993537990,24.03.2026 06:10,balans_artirma,5,chatbot,Balans artırıldı
TX00067,994559729975,25.03.2026 01:08,tarif_yenilenmesi,-7.99,USSD,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00194,994554544091,26.03.2026 19:52,balans_artirma,5,Bakcell tətbiqi,Balans artırıldı
TX00115,994552690604,28.03.2026 16:53,balans_artirma,20,555 zəng mərkəzi,Balans artırıldı
TX00270,994994008599,28.03.2026 19:20,balans_artirma,1,555 zəng mərkəzi,Balans artırıldı
TX00229,994552542821,30.03.2026 09:14,balans_artirma,50,onlayn ödəniş,Balans artırıldı
TX00044,994557777412,30.03.2026 12:23,balans_yoxlama_ussd,-0.19,USSD,Balans yoxlanışı (*100#)
TX00297,994999874906,30.03.2026 21:23,paketdenkenar_zeng,-0.6,onlayn ödəniş,"Paketdənkənar ölkədaxili zəng (2 dəq, 0.30₼/dəq)"
TX00096,994994628897,31.03.2026 08:47,paketdenkenar_zeng,-1.8,USSD,"Paketdənkənar ölkədaxili zəng (6 dəq, 0.30₼/dəq)"
TX00015,994992819482,31.03.2026 11:17,tarif_yenilenmesi,-7.99,USSD,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00252,994999835503,31.03.2026 18:42,paket_alisi,-2.0,555 zəng mərkəzi,İnternet paketi alındı: Limitsiz gecə interneti (00:00-08:00)
TX00206,994557504310,01.04.2026 14:24,tarif_yenilenmesi,-7.99,chatbot,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00016,994995749118,02.04.2026 20:01,tarif_deyisikliyi,-7.99,Bakcell tətbiqi,Tarif dəyişdirildi: GO 7.99 (keçid 0₼ + abunə haqqı)
TX00348,994552752368,03.04.2026 20:30,balans_artirma,1,Bakcell tətbiqi,Balans artırıldı
TX00303,994557958492,04.04.2026 14:32,balans_artirma,20,Bakcell tətbiqi,Balans artırıldı
TX00264,994994008599,05.04.2026 00:56,balans_artirma,10,Bakcell tətbiqi,Balans artırıldı
TX00087,994992616751,05.04.2026 15:15,paketdenkenar_sms,-0.76,Bakcell tətbiqi,"Paketdənkənar SMS (4 ədəd, 0.19₼)"
TX00124,994553377617,05.04.2026 18:29,balans_artirma,3,onlayn ödəniş,Balans artırıldı
TX00009,994551815908,06.04.2026 01:09,paket_alisi,-29.0,USSD,İnternet paketi alındı: Aylıq 30 GB
TX00251,994999835503,06.04.2026 20:03,paketdenkenar_sms,-0.38,onlayn ödəniş,"Paketdənkənar SMS (2 ədəd, 0.19₼)"
TX00002,994551815908,06.04.2026 23:54,paket_alisi,-1.5,555 zəng mərkəzi,İnternet paketi alındı: Gündəlik 1 GB
TX00125,994553377617,07.04.2026 22:49,paketdenkenar_sms,-0.76,onlayn ödəniş,"Paketdənkənar SMS (4 ədəd, 0.19₼)"
TX00092,994996355150,09.04.2026 00:52,paket_alisi,-19.0,chatbot,İnternet paketi alındı: Aylıq 15 GB
TX00253,994995465925,09.04.2026 20:26,tarif_yenilenmesi,-11.99,555 zəng mərkəzi,Tarif yeniləndi: GO 11.99 (*905*2#)
TX00189,994554544091,10.04.2026 17:41,balans_artirma,1,onlayn ödəniş,Balans artırıldı
TX00152,994557576283,10.04.2026 18:48,paketdenkenar_zeng,-3.0,Bakcell tətbiqi,"Paketdənkənar ölkədaxili zəng (10 dəq, 0.30₼/dəq)"
TX00257,994993900009,11.04.2026 11:04,balans_yoxlama_ussd,-0.19,555 zəng mərkəzi,Balans yoxlanışı (*100#)
TX00126,994553377617,12.04.2026 00:37,tarif_deyisikliyi,-59.99,555 zəng mərkəzi,Tarif dəyişdirildi: GO Pro 59.99 (keçid 0₼ + abunə haqqı)
TX00023,994994650752,14.04.2026 03:27,tarif_yenilenmesi,-14.99,USSD,Tarif yeniləndi: GO 14.99 (*915*2#)
TX00278,994998443180,15.04.2026 05:36,tarif_yenilenmesi,-7.99,555 zəng mərkəzi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00076,994997986828,16.04.2026 15:18,tarif_yenilenmesi,-7.99,USSD,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00103,994557167868,16.04.2026 17:48,balans_artirma,50,USSD,Balans artırıldı
TX00036,994996661760,17.04.2026 01:42,paket_alisi,-2.0,chatbot,İnternet paketi alındı: Limitsiz gecə interneti (00:00-08:00)
TX00165,994557180023,17.04.2026 18:19,paket_alisi,-2.0,chatbot,İnternet paketi alındı: Limitsiz gecə interneti (00:00-08:00)
TX00175,994554813734,18.04.2026 14:22,balans_artirma,10,555 zəng mərkəzi,Balans artırıldı
TX00299,994999874906,19.04.2026 19:13,balans_yoxlama_ussd,-0.19,555 zəng mərkəzi,Balans yoxlanışı (*100#)
TX00186,994994610735,20.04.2026 05:58,tarif_yenilenmesi,-11.99,555 zəng mərkəzi,Tarif yeniləndi: GO 11.99 (*905*2#)
TX00210,994550565294,20.04.2026 09:12,balans_artirma,3,onlayn ödəniş,Balans artırıldı
TX00231,994557293068,20.04.2026 10:20,balans_artirma,10,USSD,Balans artırıldı
TX00290,994993816133,21.04.2026 18:42,balans_artirma,3,Bakcell tətbiqi,Balans artırıldı
TX00304,994557958492,21.04.2026 19:12,balans_yoxlama_ussd,-0.19,Bakcell tətbiqi,Balans yoxlanışı (*100#)
TX00337,994555856732,22.04.2026 00:14,balans_artirma,10,555 zəng mərkəzi,Balans artırıldı
TX00213,994550565294,23.04.2026 10:08,balans_yoxlama_ussd,-0.19,555 zəng mərkəzi,Balans yoxlanışı (*100#)
TX00181,994552675112,23.04.2026 17:14,paketdenkenar_zeng,-2.1,USSD,"Paketdənkənar ölkədaxili zəng (7 dəq, 0.30₼/dəq)"
TX00323,994550663847,24.04.2026 05:47,tarif_yenilenmesi,-7.99,chatbot,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00302,994557958492,24.04.2026 15:41,tarif_yenilenmesi,-11.99,chatbot,Tarif yeniləndi: GO 11.99 (*905*2#)
TX00322,994550663847,25.04.2026 10:37,paket_alisi,-19.0,USSD,İnternet paketi alındı: Aylıq 15 GB
TX00212,994550565294,25.04.2026 13:49,paket_alisi,-29.0,555 zəng mərkəzi,İnternet paketi alındı: Aylıq 30 GB
TX00086,994992616751,26.04.2026 02:39,balans_yoxlama_ussd,-0.19,onlayn ödəniş,Balans yoxlanışı (*100#)
TX00077,994553340187,26.04.2026 05:52,balans_yoxlama_ussd,-0.19,Bakcell tətbiqi,Balans yoxlanışı (*100#)
TX00148,994997924708,26.04.2026 06:26,balans_artirma,20,onlayn ödəniş,Balans artırıldı
TX00293,994999874906,27.04.2026 18:28,tarif_yenilenmesi,-7.99,onlayn ödəniş,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00117,994552690604,27.04.2026 21:07,balans_yoxlama_ussd,-0.19,USSD,Balans yoxlanışı (*100#)
TX00173,994554813734,28.04.2026 03:22,balans_artirma,5,555 zəng mərkəzi,Balans artırıldı
TX00214,994550565294,28.04.2026 15:27,tarif_yenilenmesi,-7.99,USSD,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00056,994993537990,29.04.2026 10:33,paketdenkenar_zeng,-0.3,onlayn ödəniş,"Paketdənkənar ölkədaxili zəng (1 dəq, 0.30₼/dəq)"
TX00345,994554577691,30.04.2026 00:41,tarif_yenilenmesi,-14.99,USSD,Tarif yeniləndi: GO 14.99 (*915*2#)
TX00332,994555856732,30.04.2026 04:49,paketdenkenar_zeng,-1.5,Bakcell tətbiqi,"Paketdənkənar ölkədaxili zəng (5 dəq, 0.30₼/dəq)"
TX00208,994557504310,30.04.2026 14:52,balans_artirma,5,Bakcell tətbiqi,Balans artırıldı
TX00249,994999835503,01.05.2026 00:12,balans_artirma,50,onlayn ödəniş,Balans artırıldı
TX00097,994550831240,01.05.2026 08:07,balans_yoxlama_ussd,-0.19,Bakcell tətbiqi,Balans yoxlanışı (*100#)
TX00150,994557576283,01.05.2026 11:03,balans_artirma,5,onlayn ödəniş,Balans artırıldı
TX00334,994555856732,02.05.2026 11:57,paketdenkenar_sms,-0.76,onlayn ödəniş,"Paketdənkənar SMS (4 ədəd, 0.19₼)"
TX00064,994993537990,03.05.2026 01:31,paketdenkenar_sms,-0.57,555 zəng mərkəzi,"Paketdənkənar SMS (3 ədəd, 0.19₼)"
TX00197,994999183623,03.05.2026 07:36,tarif_yenilenmesi,-11.99,Bakcell tətbiqi,Tarif yeniləndi: GO 11.99 (*905*2#)
TX00049,994557777412,03.05.2026 12:51,tarif_yenilenmesi,-7.99,555 zəng mərkəzi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00326,994554677096,03.05.2026 15:40,balans_artirma,1,onlayn ödəniş,Balans artırıldı
TX00039,994996661760,05.05.2026 01:47,tarif_yenilenmesi,-7.99,Bakcell tətbiqi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00344,994554577691,05.05.2026 18:39,balans_artirma,3,Bakcell tətbiqi,Balans artırıldı
TX00069,994559729975,06.05.2026 09:33,tarif_yenilenmesi,-7.99,555 zəng mərkəzi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00215,994550565294,06.05.2026 20:20,balans_yoxlama_ussd,-0.19,555 zəng mərkəzi,Balans yoxlanışı (*100#)
TX00122,994553377617,09.05.2026 04:12,balans_artirma,10,555 zəng mərkəzi,Balans artırıldı
TX00014,994992819482,09.05.2026 17:17,paket_alisi,-1.5,chatbot,İnternet paketi alındı: Gündəlik 1 GB
TX00105,994557167868,10.05.2026 05:59,tarif_deyisikliyi,-11.99,USSD,Tarif dəyişdirildi: GO 11.99 (keçid 0₼ + abunə haqqı)
TX00157,994992883143,10.05.2026 17:40,tarif_yenilenmesi,-11.99,Bakcell tətbiqi,Tarif yeniləndi: GO 11.99 (*905*2#)
TX00123,994553377617,11.05.2026 03:45,tarif_yenilenmesi,-29.99,Bakcell tətbiqi,Tarif yeniləndi: GO Pro 29.99 (*930*2#)
TX00276,994998443180,12.05.2026 02:27,paket_alisi,-19.0,Bakcell tətbiqi,İnternet paketi alındı: Aylıq 15 GB
TX00151,994557576283,12.05.2026 07:22,paket_alisi,-0.8,chatbot,İnternet paketi alındı: Gündəlik 300 MB
TX00013,994992819482,14.05.2026 12:07,paketdenkenar_zeng,-2.1,555 zəng mərkəzi,"Paketdənkənar ölkədaxili zəng (7 dəq, 0.30₼/dəq)"
TX00099,994550831240,15.05.2026 04:55,tarif_deyisikliyi,-19.99,Bakcell tətbiqi,Tarif dəyişdirildi: GO 19.99 (keçid 0₼ + abunə haqqı)
TX00265,994994008599,15.05.2026 12:33,paketdenkenar_zeng,-2.7,USSD,"Paketdənkənar ölkədaxili zəng (9 dəq, 0.30₼/dəq)"
TX00143,994991669156,15.05.2026 13:52,tarif_yenilenmesi,-19.99,onlayn ödəniş,Tarif yeniləndi: GO 19.99 (*920*2#)
TX00179,994554813734,15.05.2026 23:32,balans_artirma,20,chatbot,Balans artırıldı
TX00018,994995749118,16.05.2026 03:42,balans_artirma,1,Bakcell tətbiqi,Balans artırıldı
TX00338,994997322137,17.05.2026 05:45,paket_alisi,-0.8,onlayn ödəniş,İnternet paketi alındı: Gündəlik 300 MB
TX00256,994995465925,17.05.2026 06:43,paketdenkenar_sms,-0.57,Bakcell tətbiqi,"Paketdənkənar SMS (3 ədəd, 0.19₼)"
TX00339,994997322137,18.05.2026 08:36,balans_artirma,20,onlayn ödəniş,Balans artırıldı
TX00140,994557760207,18.05.2026 11:51,balans_artirma,1,USSD,Balans artırıldı
TX00118,994552690604,19.05.2026 08:32,balans_artirma,1,onlayn ödəniş,Balans artırıldı
TX00025,994993212233,19.05.2026 19:11,paketdenkenar_zeng,-1.5,chatbot,"Paketdənkənar ölkədaxili zəng (5 dəq, 0.30₼/dəq)"
TX00041,994996661760,19.05.2026 20:29,paket_alisi,-2.0,USSD,İnternet paketi alındı: Limitsiz gecə interneti (00:00-08:00)
TX00237,994997872009,21.05.2026 07:10,balans_artirma,50,chatbot,Balans artırıldı
TX00268,994994008599,21.05.2026 07:51,paketdenkenar_zeng,-0.9,chatbot,"Paketdənkənar ölkədaxili zəng (3 dəq, 0.30₼/dəq)"
TX00164,994557180023,22.05.2026 00:13,paket_alisi,-12.0,555 zəng mərkəzi,İnternet paketi alındı: Aylıq 6 GB
TX00262,994993900009,22.05.2026 00:17,paketdenkenar_zeng,-0.6,chatbot,"Paketdənkənar ölkədaxili zəng (2 dəq, 0.30₼/dəq)"
TX00221,994996605366,22.05.2026 06:25,paketdenkenar_sms,-0.19,Bakcell tətbiqi,"Paketdənkənar SMS (1 ədəd, 0.19₼)"
TX00051,994558885393,22.05.2026 08:58,tarif_yenilenmesi,-19.99,chatbot,Tarif yeniləndi: GO 19.99 (*920*2#)
TX00114,994552690604,22.05.2026 13:01,tarif_deyisikliyi,-7.99,onlayn ödəniş,Tarif dəyişdirildi: GO 7.99 (keçid 0₼ + abunə haqqı)
TX00267,994994008599,23.05.2026 12:56,tarif_deyisikliyi,-59.99,USSD,Tarif dəyişdirildi: GO Pro 59.99 (keçid 0₼ + abunə haqqı)
TX00008,994551815908,24.05.2026 03:12,balans_artirma,10,onlayn ödəniş,Balans artırıldı
TX00167,994557180023,24.05.2026 11:03,balans_artirma,3,onlayn ödəniş,Balans artırıldı
TX00260,994993900009,24.05.2026 19:14,tarif_deyisikliyi,-7.99,chatbot,Tarif dəyişdirildi: GO 7.99 (keçid 0₼ + abunə haqqı)
TX00324,994550663847,24.05.2026 19:41,tarif_deyisikliyi,-19.99,555 zəng mərkəzi,Tarif dəyişdirildi: GO 19.99 (keçid 0₼ + abunə haqqı)
TX00283,994550639436,24.05.2026 20:47,tarif_deyisikliyi,-29.99,chatbot,Tarif dəyişdirildi: GO Pro 29.99 (keçid 0₼ + abunə haqqı)
TX00093,994996355150,25.05.2026 05:43,paketdenkenar_zeng,-2.4,chatbot,"Paketdənkənar ölkədaxili zəng (8 dəq, 0.30₼/dəq)"
TX00129,994553377617,25.05.2026 14:52,paket_alisi,-2.0,onlayn ödəniş,İnternet paketi alındı: Limitsiz gecə interneti (00:00-08:00)
TX00325,994554677096,25.05.2026 19:46,paket_alisi,-6.0,555 zəng mərkəzi,İnternet paketi alındı: Aylıq 1.5 GB
TX00277,994998443180,26.05.2026 02:08,tarif_deyisikliyi,-7.99,555 zəng mərkəzi,Tarif dəyişdirildi: GO 7.99 (keçid 0₼ + abunə haqqı)
TX00010,994992819482,26.05.2026 03:13,tarif_yenilenmesi,-7.99,chatbot,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00353,994552752368,26.05.2026 05:57,tarif_yenilenmesi,-7.99,Bakcell tətbiqi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00340,994997322137,27.05.2026 02:30,tarif_yenilenmesi,-14.99,USSD,Tarif yeniləndi: GO 14.99 (*915*2#)
TX00209,994557504310,27.05.2026 05:19,tarif_yenilenmesi,-7.99,USSD,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00333,994555856732,27.05.2026 12:22,balans_yoxlama_ussd,-0.19,onlayn ödəniş,Balans yoxlanışı (*100#)
TX00100,994550831240,27.05.2026 17:26,paketdenkenar_zeng,-2.4,USSD,"Paketdənkənar ölkədaxili zəng (8 dəq, 0.30₼/dəq)"
TX00306,994557958492,27.05.2026 23:13,tarif_deyisikliyi,-14.99,Bakcell tətbiqi,Tarif dəyişdirildi: GO 14.99 (keçid 0₼ + abunə haqqı)
TX00078,994553340187,30.05.2026 02:01,balans_yoxlama_ussd,-0.19,onlayn ödəniş,Balans yoxlanışı (*100#)
TX00156,994992883143,30.05.2026 04:47,paket_alisi,-19.0,USSD,İnternet paketi alındı: Aylıq 15 GB
TX00305,994557958492,30.05.2026 05:44,balans_yoxlama_ussd,-0.19,chatbot,Balans yoxlanışı (*100#)
TX00193,994554544091,30.05.2026 09:24,tarif_deyisikliyi,-7.99,USSD,Tarif dəyişdirildi: GO 7.99 (keçid 0₼ + abunə haqqı)
TX00342,994997322137,30.05.2026 15:58,paket_alisi,-2.0,chatbot,İnternet paketi alındı: Limitsiz gecə interneti (00:00-08:00)
TX00063,994993537990,31.05.2026 13:44,tarif_yenilenmesi,-11.99,onlayn ödəniş,Tarif yeniləndi: GO 11.99 (*905*2#)
TX00258,994993900009,01.06.2026 09:52,paket_alisi,-19.0,USSD,İnternet paketi alındı: Aylıq 15 GB
TX00222,994996605366,01.06.2026 17:04,tarif_yenilenmesi,-7.99,chatbot,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00288,994993816133,01.06.2026 18:05,balans_yoxlama_ussd,-0.19,USSD,Balans yoxlanışı (*100#)
TX00111,994554072247,02.06.2026 01:15,balans_artirma,50,USSD,Balans artırıldı
TX00226,994996605366,02.06.2026 23:11,balans_artirma,10,chatbot,Balans artırıldı
TX00336,994555856732,03.06.2026 08:18,paket_alisi,-6.0,USSD,İnternet paketi alındı: Aylıq 1.5 GB
TX00269,994994008599,03.06.2026 08:39,tarif_yenilenmesi,-11.99,USSD,Tarif yeniləndi: GO 11.99 (*905*2#)
TX00284,994993816133,03.06.2026 16:24,paket_alisi,-6.0,USSD,İnternet paketi alındı: Aylıq 1.5 GB
TX00216,994550565294,03.06.2026 18:14,tarif_yenilenmesi,-7.99,USSD,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00301,994557958492,04.06.2026 01:25,balans_artirma,50,Bakcell tətbiqi,Balans artırıldı
TX00307,994557958492,04.06.2026 17:30,balans_artirma,5,onlayn ödəniş,Balans artırıldı
TX00287,994993816133,04.06.2026 18:56,tarif_yenilenmesi,-7.99,onlayn ödəniş,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00300,994557958492,04.06.2026 21:07,balans_artirma,10,Bakcell tətbiqi,Balans artırıldı
TX00219,994996605366,07.06.2026 00:58,tarif_deyisikliyi,-11.99,onlayn ödəniş,Tarif dəyişdirildi: GO 11.99 (keçid 0₼ + abunə haqqı)
TX00220,994996605366,08.06.2026 02:56,paket_alisi,-2.0,USSD,İnternet paketi alındı: Limitsiz gecə interneti (00:00-08:00)
TX00083,994992616751,08.06.2026 04:14,paket_alisi,-12.0,chatbot,İnternet paketi alındı: Aylıq 6 GB
TX00207,994557504310,08.06.2026 06:31,tarif_yenilenmesi,-7.99,555 zəng mərkəzi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00030,994993212233,08.06.2026 20:16,balans_artirma,50,onlayn ödəniş,Balans artırıldı
TX00163,994557180023,09.06.2026 17:57,balans_artirma,20,onlayn ödəniş,Balans artırıldı
TX00149,994557576283,10.06.2026 00:24,balans_yoxlama_ussd,-0.19,chatbot,Balans yoxlanışı (*100#)
TX00185,994552675112,10.06.2026 03:21,balans_yoxlama_ussd,-0.19,onlayn ödəniş,Balans yoxlanışı (*100#)
TX00289,994993816133,10.06.2026 08:54,tarif_yenilenmesi,-7.99,Bakcell tətbiqi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00228,994552542821,11.06.2026 12:01,balans_yoxlama_ussd,-0.19,Bakcell tətbiqi,Balans yoxlanışı (*100#)
TX00202,994554449454,11.06.2026 16:32,paket_alisi,-2.0,Bakcell tətbiqi,İnternet paketi alındı: Limitsiz gecə interneti (00:00-08:00)
TX00254,994995465925,12.06.2026 07:02,paketdenkenar_zeng,-1.5,Bakcell tətbiqi,"Paketdənkənar ölkədaxili zəng (5 dəq, 0.30₼/dəq)"
TX00029,994993212233,12.06.2026 15:14,tarif_yenilenmesi,-7.99,Bakcell tətbiqi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00102,994550831240,13.06.2026 07:27,paket_alisi,-19.0,chatbot,İnternet paketi alındı: Aylıq 15 GB
TX00295,994999874906,13.06.2026 23:11,balans_artirma,10,Bakcell tətbiqi,Balans artırıldı
TX00159,994557180023,14.06.2026 18:46,balans_artirma,1,onlayn ödəniş,Balans artırıldı
TX00098,994550831240,15.06.2026 05:32,paket_alisi,-2.0,Bakcell tətbiqi,İnternet paketi alındı: Limitsiz gecə interneti (00:00-08:00)
TX00045,994557777412,15.06.2026 16:16,tarif_yenilenmesi,-7.99,555 zəng mərkəzi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00238,994997872009,15.06.2026 23:42,balans_yoxlama_ussd,-0.19,555 zəng mərkəzi,Balans yoxlanışı (*100#)
TX00024,994994650752,16.06.2026 03:26,paketdenkenar_sms,-0.57,Bakcell tətbiqi,"Paketdənkənar SMS (3 ədəd, 0.19₼)"
TX00180,994554813734,16.06.2026 21:32,paketdenkenar_sms,-0.95,USSD,"Paketdənkənar SMS (5 ədəd, 0.19₼)"
TX00012,994992819482,17.06.2026 08:35,paket_alisi,-0.8,onlayn ödəniş,İnternet paketi alındı: Gündəlik 300 MB
TX00240,994550862019,17.06.2026 15:06,balans_artirma,50,chatbot,Balans artırıldı
TX00033,994993212233,18.06.2026 00:09,tarif_yenilenmesi,-7.99,Bakcell tətbiqi,Tarif yeniləndi: GO 7.99 (*903*2#)
TX00168,994995378383,18.06.2026 00:21,balans_artirma,1,Bakcell tətbiqi,Balans artırıldı
TX00171,994995378383,19.06.2026 13:17,tarif_deyisikliyi,-14.99,555 zəng mərkəzi,Tarif dəyişdirildi: GO 14.99 (keçid 0₼ + abunə haqqı)
TX00261,994993900009,20.06.2026 16:40,tarif_yenilenmesi,-11.99,USSD,Tarif yeniləndi: GO 11.99 (*905*2#)
