musteri_id,msisdn,ad,soyad,fin,dogum_tarixi,tarif_id,tarif_adi,tarif_aktivlesme,tarif_bitme,balans_azn,internet_qaliq_gb,deqiqe_qaliq,sms_qaliq,sosial_media_qaliq_gb,ai_qaliq_gb,status,qeydiyyat_tarixi,pin
C0036,994557504310,Anar,Qasımov,EZ8M4SA,30.09.1974,GO799,GO 7.99,19.08.2026,02.09.2026,44.62,2.13,89,27,0,0.04,aktiv,24.10.2022,2316
C0037,994550565294,Murad,Məmmədov,6E2G1KF,18.04.1999,GO799,GO 7.99,01.09.2026,15.09.2026,11.46,2.09,104,36,0,0.67,aktiv,08.09.2023,0841
C0038,994996605366,Şahin,Qasımov,L3HF1Z5,04.09.2004,GO799,GO 7.99,01.09.2026,15.09.2026,11.38,0.04,141,18,0,0.64,aktiv,13.06.2023,1458
C0039,994552542821,Rüfət,Nəbiyev,NVJC6WD,04.04.1997,GO799,GO 7.99,25.08.2026,08.09.2026,64.83,1.16,182,79,0,0.69,aktiv,18.10.2020,3638
C0040,994557293068,Zeynəb,Mustafayeva,RNCCWH0,22.11.1996,GO799,GO 7.99,27.08.2026,10.09.2026,31.9,2.55,199,39,0,0.65,aktiv,16.06.2022,9545
C0041,994997872009,Elnur,Kərimov,5M61GEJ,31.01.1986,GOPRO5999,GO Pro 59.99,18.08.2026,15.09.2026,30.14,5.5,1810,1032,2.55,0.04,aktiv,17.06.2020,1347
C0042,994550862019,Aytac,Süleymanova,J7ULQEY,20.05.1997,GO1999,GO 19.99,06.08.2026,03.09.2026,52.93,2.38,628,140,1.81,0.46,aktiv,07.11.2021,8228
C0043,994999835503,Lalə,Quliyeva,TW0LSH9,06.03.1972,GO799,GO 7.99,30.08.2026,13.09.2026,44.54,1.08,115,71,0,0.52,aktiv,04.03.2020,4129
C0044,994995465925,Könül,Mustafayeva,MDU9SVW,19.11.2002,GO1199,GO 11.99,30.08.2026,27.09.2026,0.13,0.17,76,74,0,0.62,aktiv,06.11.2023,6843
C0045,994993900009,Rəşad,Hüseynov,Q2VJPZ6,11.02.1977,GO1199,GO 11.99,29.08.2026,26.09.2026,9.43,4.68,124,38,0,0.45,aktiv,18.09.2019,2370
C0046,994994008599,Türkan,İsmayılova,RLACDB1,30.04.1978,GO1199,GO 11.99,16.08.2026,13.09.2026,16.64,0.29,53,3,0,0.61,aktiv,18.03.2021,2330
C0047,994999284140,Zaur,Bağırov,A035F4M,19.02.1980,GOPRO5999,GO Pro 59.99,09.08.2026,06.09.2026,69.76,15.69,2637,79,0.62,0.89,aktiv,14.12.2021,0860
C0048,994998443180,Tərlan,Kərimov,NLWN0XR,08.01.1987,GO799,GO 7.99,29.08.2026,12.09.2026,63.53,1.89,177,85,0,0.84,aktiv,05.01.2025,7692
C0049,994550639436,Zaur,Nəbiyev,LKCBHGL,21.06.1985,GO1499,GO 14.99,30.08.2026,27.09.2026,68.42,5.61,15,10,0,0.14,aktiv,24.06.2019,1111
C0050,994993816133,Nigar,Mustafayeva,FU6GJGP,18.03.1983,GO799,GO 7.99,01.09.2026,15.09.2026,22.34,1.27,5,44,0,0.26,aktiv,03.03.2022,0793
C0051,994999874906,Aytac,Qasımova,Y6DPFUL,24.07.1989,GO799,GO 7.99,24.08.2026,07.09.2026,0.09,0.61,195,96,0,0.98,aktiv,18.01.2019,5698
C0052,994557958492,Anar,Nəbiyev,Q7LHF7G,03.03.1998,GO1199,GO 11.99,26.08.2026,23.09.2026,22.87,0.48,202,22,0,0.42,birtərəfli_bloklu,14.04.2019,6094
C0053,994556372899,Murad,Abbasov,9K4WL54,28.11.2000,GO1499,GO 14.99,21.08.2026,18.09.2026,54.14,4.63,64,85,0,0.46,aktiv,01.09.2021,8318
C0054,994552359852,Samir,Süleymanov,GLGN0KK,28.08.2005,GO799,GO 7.99,29.08.2026,12.09.2026,21.15,0.89,70,25,0,0.11,aktiv,13.03.2020,4600
C0055,994550663847,Elnur,Rəhimov,1AR32QQ,26.06.2000,GO799,GO 7.99,28.08.2026,11.09.2026,12.71,0.37,110,40,0,0.26,aktiv,05.02.2020,6874
C0056,994554677096,Elnur,Nəbiyev,MWA07GC,09.04.1981,GO1199,GO 11.99,11.08.2026,08.09.2026,38.04,0.8,102,132,0,0.35,birtərəfli_bloklu,11.06.2025,7483
C0057,994555856732,Anar,Cəfərov,YDST01D,07.08.1970,GO1199,GO 11.99,08.08.2026,05.09.2026,5.26,4.58,180,148,0,0.27,birtərəfli_bloklu,08.07.2021,4972
C0058,994997322137,Fidan,Quliyeva,KY25UJ6,30.11.1985,GO1499,GO 14.99,09.08.2026,06.09.2026,54.85,1.84,360,96,0,0.69,aktiv,12.10.2023,3045
C0059,994554577691,Murad,Həsənov,V0DFWJ9,25.06.1985,GO1499,GO 14.99,21.08.2026,18.09.2026,44.32,0.12,5,53,0,0.95,aktiv,15.04.2022,4096
C0060,994552752368,Zeynəb,Hüseynova,FVN7P9F,13.04.2003,GO799,GO 7.99,21.08.2026,04.09.2026,58.75,2.01,29,71,0,0.12,aktiv,13.09.2023,3836
